#timestep	time	hpmc_overlap_count	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	volume	external_field_jit
24500	72.601058	0	0.6426484907	0.7267384917	0.3262656737	0.3467210713	42303.43543	1376.086947
25000	73.857518	0	0.665388303	0.7810945274	0.3262656737	0.3467210713	42303.43543	1441.605733
25500	75.109014	0	0.6679499519	0.7403369673	0.3262656737	0.3467210713	42303.43543	1357.222233
26000	76.37017	0	0.6992263056	0.758382643	0.3262656737	0.3467210713	42303.43543	1428.293112
26500	77.627875	0	0.669	0.7652671756	0.3262656737	0.3467210713	42303.43543	1354.430141
27000	78.883698	0	0.6826826827	0.7807435653	0.3262656737	0.3467210713	42303.43543	1409.674993
27500	80.149285	0	0.6498545102	0.7620452311	0.3262656737	0.3467210713	42303.43543	1340.479643
28000	81.41151	0	0.6573088093	0.7369458128	0.3262656737	0.3467210713	42303.43543	1370.063499
28500	82.669669	0	0.6726368159	0.7679769895	0.3262656737	0.3467210713	42303.43543	1379.150773
29000	83.933618	0	0.682464455	0.7834843907	0.3262656737	0.3467210713	42303.43543	1389.62709
29500	85.192386	0	0.6937377691	0.7719298246	0.3262656737	0.3467210713	42303.43543	1412.430308
30000	86.451593	0	0.6445846477	0.7666362808	0.3262656737	0.3467210713	42303.43543	1353.645023
30500	87.711999	0	0.6883239171	0.775862069	0.3262656737	0.3467210713	42303.43543	1361.240369
31000	88.971221	0	0.6478599222	0.7460784314	0.3262656737	0.3467210713	42303.43543	1348.543341
31500	90.227473	0	0.6732580038	0.738336714	0.3262656737	0.3467210713	42303.43543	1371.721532
32000	91.489908	0	0.6316831683	0.7495183044	0.3262656737	0.3467210713	42303.43543	1343.682928
32500	92.754152	0	0.6492985972	0.7323809524	0.3262656737	0.3467210713	42303.43543	1369.859
33000	94.019229	0	0.645320197	0.7221684414	0.3262656737	0.3467210713	42303.43543	1381.966091
33500	95.281197	0	0.638589618	0.7682570594	0.3262656737	0.3467210713	42303.43543	1376.60988
34000	96.541733	0	0.6592877767	0.7661050545	0.3262656737	0.3467210713	42303.43543	1394.281208
34500	97.797325	0	0.6650197628	0.7451737452	0.3262656737	0.3467210713	42303.43543	1387.618461
35000	99.059093	0	0.6411530815	0.7495201536	0.3262656737	0.3467210713	42303.43543	1380.287377
35500	100.320543	0	0.6370731707	0.7478005865	0.3262656737	0.3467210713	42303.43543	1339.552169
36000	101.581966	0	0.6757852077	0.7785108388	0.3262656737	0.3467210713	42303.43543	1387.908561
36500	102.835153	0	0.6686159844	0.7358121331	0.3262656737	0.3467210713	42303.43543	1367.550534
37000	104.092681	0	0.6841046278	0.7741935484	0.3262656737	0.3467210713	42303.43543	1375.252318
37500	105.354778	0	0.6577380952	0.7115384615	0.3262656737	0.3467210713	42303.43543	1372.144033
38000	106.620555	0	0.6521308226	0.7584215592	0.3262656737	0.3467210713	42303.43543	1363.303617
38500	107.883786	0	0.639408867	0.7434656341	0.3262656737	0.3467210713	42303.43543	1347.929622
39000	109.148595	0	0.646484375	0.7421875	0.3262656737	0.3467210713	42303.43543	1423.422599
39500	110.414681	0	0.6749521989	0.7405189621	0.3262656737	0.3467210713	42303.43543	1306.341643
40000	111.676581	0	0.640831758	0.7505050505	0.3262656737	0.3467210713	42303.43543	1341.325558
40500	112.938776	0	0.6689386563	0.7522037218	0.3262656737	0.3467210713	42303.43543	1403.499814
41000	114.19746	0	0.6763236763	0.7516714422	0.3262656737	0.3467210713	42303.43543	1337.86325
41500	115.454059	0	0.6862745098	0.7723735409	0.3262656737	0.3467210713	42303.43543	1369.466537
42000	116.714135	0	0.6459747818	0.7482792527	0.3262656737	0.3467210713	42303.43543	1343.699477
42500	117.973571	0	0.6620959843	0.729308666	0.3262656737	0.3467210713	42303.43543	1350.324686
43000	119.230107	0	0.6617790811	0.752195122	0.3262656737	0.3467210713	42303.43543	1369.910018
43500	120.489512	0	0.6754966887	0.7790110999	0.3262656737	0.3467210713	42303.43543	1406.177865
44000	121.741303	0	0.6600790514	0.7442084942	0.3262656737	0.3467210713	42303.43543	1398.606721
44500	123.001647	0	0.6446446446	0.7340324118	0.3262656737	0.3467210713	42303.43543	1340.916548
45000	124.264831	0	0.6776699029	0.7642436149	0.3262656737	0.3467210713	42303.43543	1372.137939
