#timestep	time	hpmc_overlap_count	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	volume	external_field_jit
0	0.034052	0	0	0	0.01	0.01	185.9037742	0
500	0.597745	0	1	1	0.01536007508	0.01536911287	185.9037742	0
1000	0.78339	0	0.9864864865	0.9857142857	0.02356576965	0.02358765715	185.9037742	0
1500	0.940362	0	0.9705882353	0.9868421053	0.03601284344	0.03608340494	185.9037742	0
2000	1.09711	0	0.873015873	0.9012345679	0.05482533726	0.05501157696	185.9037742	0
2500	1.259675	0	0.8873239437	0.9863013699	0.08280692311	0.08332850324	185.9037742	0
3000	1.421345	0	0.9390243902	0.8709677419	0.1236709774	0.1247863304	185.9037742	0
3500	1.574742	0	0.8428571429	0.9054054054	0.1823867092	0.1852666497	185.9037742	0
4000	1.725824	0	0.803030303	0.7179487179	0.2624210446	0.2697757565	185.9037742	0
4500	1.873446	0	0.5857142857	0.6621621622	0.3644162944	0.3837197179	185.9037742	0
5000	2.304288	0	0.5942028986	0.7466666667	0.3644162944	0.3837197179	2230.84529	373.4381256
5500	2.370391	0	0.9186046512	0.8448275862	0.3644162944	0.3837197179	2230.84529	119.0650139
6000	2.435036	0	0.6129032258	0.7926829268	0.3644162944	0.3837197179	2230.84529	73.00225484
6500	2.500118	0	0.7432432432	0.8142857143	0.3644162944	0.3837197179	2230.84529	75.29571044
7000	2.567069	0	0.7575757576	0.8846153846	0.3644162944	0.3837197179	2230.84529	89.49715698
7500	2.632219	0	0.6666666667	0.7466666667	0.3644162944	0.3837197179	2230.84529	74.68551648
8000	2.698927	0	0.6746987952	0.8524590164	0.3644162944	0.3837197179	2230.84529	67.42216986
8500	2.764224	0	0.8125	0.859375	0.3644162944	0.3837197179	2230.84529	78.08996129
9000	2.829456	0	0.7627118644	0.8117647059	0.3644162944	0.3837197179	2230.84529	77.77852756
9500	2.89329	0	0.7586206897	0.9302325581	0.3644162944	0.3837197179	2230.84529	96.54689997
10000	2.960399	0	0.7466666667	0.8695652174	0.3644162944	0.3837197179	2230.84529	73.86030382
10500	3.026366	0	0.6973684211	0.8529411765	0.3644162944	0.3837197179	2230.84529	83.1144715
11000	3.092985	0	0.7575757576	0.858974359	0.3644162944	0.3837197179	2230.84529	87.21236408
11500	3.158597	0	0.7	0.7972972973	0.3644162944	0.3837197179	2230.84529	76.90366334
12000	3.223815	0	0.8	0.8695652174	0.3644162944	0.3837197179	2230.84529	80.31230968
12500	3.289683	0	0.825	0.84375	0.3644162944	0.3837197179	2230.84529	73.17473263
13000	3.356117	0	0.7887323944	0.9452054795	0.3644162944	0.3837197179	2230.84529	85.95126307
13500	3.422543	0	0.8333333333	0.9	0.3644162944	0.3837197179	2230.84529	82.03312916
14000	3.489227	0	0.7164179104	0.6493506494	0.3644162944	0.3837197179	2230.84529	75.0413211
14500	3.557354	0	0.7564102564	0.8181818182	0.3644162944	0.3837197179	2230.84529	74.88711244
15000	3.624455	0	0.7142857143	0.7567567568	0.3644162944	0.3837197179	2230.84529	66.417795
15500	3.691805	0	0.7916666667	0.875	0.3644162944	0.3837197179	2230.84529	77.17158991
16000	3.757237	0	0.7341772152	0.8923076923	0.3644162944	0.3837197179	2230.84529	77.77086908
16500	3.823342	0	0.7710843373	0.8032786885	0.3644162944	0.3837197179	2230.84529	88.48971021
17000	3.88974	0	0.8266666667	0.884057971	0.3644162944	0.3837197179	2230.84529	92.43005908
17500	3.955365	0	0.7042253521	0.7808219178	0.3644162944	0.3837197179	2230.84529	78.01233953
18000	4.021367	0	0.7466666667	0.7971014493	0.3644162944	0.3837197179	2230.84529	77.77383453
18500	4.086713	0	0.6417910448	0.7662337662	0.3644162944	0.3837197179	2230.84529	77.84527785
19000	4.153732	0	0.6865671642	0.8311688312	0.3644162944	0.3837197179	2230.84529	78.22463882
19500	4.218869	0	0.76	0.9710144928	0.3644162944	0.3837197179	2230.84529	89.87407422
20000	4.289835	0	0.6712328767	0.7323943662	0.3644162944	0.3837197179	2230.84529	72.64883065
20500	4.360076	0	0.7402597403	0.8208955224	0.3644162944	0.3837197179	2230.84529	80.56206542
